,Customer ID,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_clv,manual_predicted_clv,actual_amount_spent_in_next_30_days,difference
0,AA-10315102,1.0,918.0,1245.0,139.9275,0.7995678902764849,0.02,178.20570861402086,3.426304945627765,3.5641141722804175,0.0,3.5641141722804175
1,AA-10315139,3.0,319.0,437.0,923.3060000000002,0.9951308033431916,0.11,989.3305357096245,109.19843709255929,108.8263589280587,0.0,108.8263589280587
2,AA-103151402,1.0,483.0,636.0,374.48,0.8131526234537756,0.03,470.30268390638514,14.256816018536085,14.109080517191554,0.0,14.109080517191554
3,AA-103151404,1.0,553.0,1340.0,26.96,0.7078760601451789,0.02,37.52306802677425,0.6051991275688273,0.750461360535485,0.0,0.750461360535485
4,AA-1031582,1.0,439.0,1102.0,61.3,0.7143934807892497,0.02,80.28795065023716,1.5046463099371303,1.6057590130047432,0.0,1.6057590130047432
5,AA-103751404,3.0,812.0,1319.0,18.762666666666664,0.9906506331184097,0.06,21.212610439191288,1.1820399323964732,1.2727566263514771,0.0,1.2727566263514771
6,AA-103751408,1.0,367.0,747.0,513.52,0.7609065467748236,0.03,643.4543810515886,16.588551392343838,19.303631431547657,0.0,19.303631431547657
7,AA-1037564,1.0,647.0,982.0,309.978,0.7880403604699807,0.02,389.9759378674042,8.727800884817471,7.799518757348084,0.0,7.799518757348084
8,AA-1037582,3.0,968.0,971.0,523.0253333333334,0.9969360786703071,0.07,560.9166894529139,39.0479535788119,39.26416826170398,0.0,39.26416826170398
9,AA-10480139,1.0,100.0,1088.0,130.923,0.5698886046817431,0.02,166.99206896396345,2.518929195483501,3.339841379279269,0.0,3.339841379279269
10,AA-104801402,1.0,40.0,500.0,1157.98,0.686747667736634,0.03,1446.0244525576143,42.20809550004493,43.380733576728424,0.0,43.380733576728424
11,AA-1048045,2.0,303.0,1125.0,959.8057500000001,0.9672434789921992,0.04,1066.4378000834765,45.87289108583633,42.657512003339065,0.0,42.657512003339065
12,AA-1048059,1.0,469.0,1255.0,509.6034,0.6969742210872085,0.02,638.5768930118957,10.640324982704673,12.771537860237913,0.0,12.771537860237913
13,AA-1048082,1.0,35.0,815.0,51.84000000000001,0.5940767310563176,0.02,68.5070598634591,1.305979049555463,1.3701411972691822,0.0,1.3701411972691822
14,AA-10645139,2.0,893.0,1122.0,633.81,0.9913730720886742,0.04,704.8220499479464,31.1328380091024,28.19288199791786,0.0,28.19288199791786
15,AA-106451404,1.0,489.0,513.0,12.96,0.8379457035670517,0.04,20.088345932176654,0.706000159138645,0.8035338372870662,0.0,0.8035338372870662
16,AA-106451406,1.0,162.0,1257.0,327.55999999999995,0.569965664260389,0.01,411.87145814363373,5.605731714998044,4.118714581436337,0.0,4.118714581436337
17,AA-1064531,1.0,485.0,1013.0,598.6802399999999,0.743888707864218,0.02,749.5076037593908,15.503574758696253,14.990152075187817,0.0,14.990152075187817
18,AA-1064545,1.0,600.0,802.0,168.29999999999995,0.808026485241383,0.03,213.5390409446615,5.5933904126348954,6.406171228339845,0.0,6.406171228339845
19,AA-1064558,1.0,845.0,1404.0,944.5199999999999,0.7659291193879911,0.02,1180.1947541066997,19.892940589786676,23.603895082133995,0.0,23.603895082133995
20,AA-1064559,3.0,1055.0,1061.0,536.9978999999998,0.9969169498944186,0.07,575.8712988713343,37.73247154446262,40.310990920993405,43.2957,-2.984709079006592
21,AA-1064564,2.0,746.0,1070.0,213.315,0.9895533819505059,0.05,238.3815676617829,10.865038234921801,11.919078383089145,0.0,11.919078383089145
22,AA-106457,1.0,366.0,523.0,95.58,0.8082087044986854,0.03,122.97811303615183,4.1267015825677795,3.6893433910845546,0.0,3.6893433910845546
23,AA-1064582,1.0,729.0,1074.0,115.5,0.790212576241151,0.02,147.78523190217925,3.1190600088559175,2.955704638043585,0.0,2.955704638043585
24,AA-315134,1.0,834.0,1271.0,146.364,0.7817721390421244,0.02,186.2213220970121,3.448468906695878,3.724426441940242,20.052000000000003,-16.32757355805976
25,AA-64595,3.0,1062.0,1091.0,178.77600000000004,0.996758646932551,0.06,192.47226221442182,12.366995322729343,11.548335732865308,0.0,11.548335732865308
26,AB-10015139,2.0,1040.0,1336.0,209.85000000000002,0.9908751233367099,0.04,234.53796364479922,9.128036892789085,9.38151854579197,0.0,9.38151854579197
27,AB-100151402,1.0,996.0,1380.0,563.9399999999999,0.7948307951989338,0.02,706.2442873379892,12.513603158477872,14.124885746759785,0.0,14.124885746759785
